Year,State_Code,State_Name,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation,Category,Demographic,Lat,Long
2014,DC,District of Columbia,34.1,26.0,43.1,313.0,"(38.890371385, -77.031961127)",Income,"Less than $15,000",38.890371385, -77.031961127
2013,LA,Louisiana,28.7,23.7,34.2,561.0,"(31.312660644, -92.445680071)",Income,"$50,000 - $74,999",31.312660644, -92.445680071
2014,DE,Delaware,34.6,29.1,40.6,492.0,"(39.008830667, -75.577741168)",Income,"$35,000 - $49,999",39.008830667, -75.577741168
2012,MN,Minnesota,28.5,25.3,31.8,1572.0,"(46.355648736, -94.794200503)",Income,"$15,000 - $24,999",46.355648736, -94.794200503
2015,NM,New Mexico,33.1,30.0,36.3,1935.0,"(34.520880952, -106.240580985)",Race/Ethnicity,Hispanic,34.520880952, -106.240580985
2011,AZ,Arizona,26.5,19.9,34.3,654.0,"(34.86597028, -111.763811277)",Income,"$25,000 - $34,999",34.86597028, -111.763811277
2014,SD,South Dakota,25.6,11.2,48.4,72.0,"(44.353130053, -100.373530637)",Race/Ethnicity,Hispanic,44.353130053, -100.373530637
2014,WI,Wisconsin,56.9,40.0,72.3,96.0,"(44.393191174, -89.816370742)",Race/Ethnicity,American Indian/Alaska Native,44.393191174, -89.816370742
2012,DC,District of Columbia,9.6,7.6,12.1,1602.0,"(38.890371385, -77.031961127)",Race/Ethnicity,Non-Hispanic White,38.890371385, -77.031961127
2015,AR,Arkansas,31.7,25.8,38.1,880.0,"(34.748650124, -92.274490743)",Income,Data not reported,34.748650124, -92.274490743
2015,HI,Hawaii,17.1,15.4,19.0,2822.0,"(21.304850435, -157.857749403)",Education,College graduate,21.304850435, -157.857749403
2014,NJ,New Jersey,38.4,34.7,42.2,1414.0,"(40.130570048, -74.273691288)",Race/Ethnicity,Non-Hispanic Black,40.130570048, -74.273691288
2012,CT,Connecticut,24.4,14.4,38.4,89.0,"(41.56266102, -72.649840952)",Race/Ethnicity,Other,41.56266102, -72.649840952
2014,NE,Nebraska,28.1,26.2,30.0,4879.0,"(41.641040988001, -99.365720623)",Income,"$75,000 or greater",41.641040988001, -99.365720623
2014,NM,New Mexico,30.5,27.1,34.3,1549.0,"(34.520880952, -106.240580985)",Income,"$15,000 - $24,999",34.520880952, -106.240580985
2011,KY,Kentucky,25.1,22.9,27.4,3308.0,"(37.645970271, -84.774971048)",Age (years),65 or older,37.645970271, -84.774971048
2011,ND,North Dakota,26.5,24.0,29.2,1633.0,"(47.475319779, -100.118421049)",Education,College graduate,47.475319779, -100.118421049
2013,IA,Iowa,32.5,30.0,35.0,2160.0,"(42.469400913, -93.816490556)",Education,Some college or technical school,42.469400913, -93.816490556
2014,AK,Alaska,36.0,30.2,42.2,488.0,"(64.845079957001, -147.722059036)",Income,"$35,000 - $49,999",64.845079957001, -147.722059036
2014,UT,Utah,27.0,25.5,28.5,4455.0,"(39.360700171, -111.587130635)",Education,Some college or technical school,39.360700171, -111.587130635
2011,WA,Washington,28.4,21.6,36.4,351.0,"(47.522278629, -120.47001079)",Race/Ethnicity,2 or more races,47.522278629, -120.47001079
2011,WY,Wyoming,26.6,23.9,29.6,2053.0,"(43.235541343, -108.109830353)",Education,High school graduate,43.235541343, -108.109830353
2015,AZ,Arizona,32.1,28.5,35.8,1019.0,"(34.86597028, -111.763811277)",Age (years),45 - 54,34.86597028, -111.763811277
2015,NV,Nevada,29.6,22.5,37.8,246.0,"(39.49324039, -117.071840564)",Age (years),25 - 34,39.49324039, -117.071840564
2012,ND,North Dakota,29.1,27.3,30.9,4286.0,"(47.475319779, -100.118421049)",Race/Ethnicity,Non-Hispanic White,47.475319779, -100.118421049
2014,WY,Wyoming,38.9,29.3,49.5,388.0,"(43.235541343, -108.109830353)",Income,"Less than $15,000",43.235541343, -108.109830353
2014,AR,Arkansas,35.8,32.6,39.1,1841.0,"(34.748650124, -92.274490743)",Gender,Male,34.748650124, -92.274490743
2012,ND,North Dakota,37.1,32.0,42.5,525.0,"(47.475319779, -100.118421049)",Age (years),35 - 44,47.475319779, -100.118421049
2014,ND,North Dakota,42.6,37.7,47.6,798.0,"(47.475319779, -100.118421049)",Age (years),35 - 44,47.475319779, -100.118421049
2014,IN,Indiana,34.7,31.6,37.9,1753.0,"(39.766910452, -86.149960194)",Income,"$15,000 - $24,999",39.766910452, -86.149960194
2013,TX,Texas,30.6,27.3,34.1,1188.0,"(31.827240407, -99.426770206)",Age (years),25 - 34,31.827240407, -99.426770206
2013,GA,Georgia,38.3,35.3,41.4,1939.0,"(32.839681093, -83.627580346)",Race/Ethnicity,Non-Hispanic Black,32.839681093, -83.627580346
2011,WV,West Virginia,29.6,26.4,33.0,1037.0,"(38.665510202, -80.712640135)",Education,College graduate,38.665510202, -80.712640135
2012,MD,Maryland,28.7,27.0,30.5,7188.0,"(39.290580964, -76.609260111)",Gender,Female,39.290580964, -76.609260111
2014,AZ,Arizona,32.1,29.9,34.4,4149.0,"(34.86597028, -111.763811277)",Education,Some college or technical school,34.86597028, -111.763811277
2011,CA,California,17.5,14.4,21.2,1090.0,"(37.638640123, -120.999999538)",Income,Data not reported,37.638640123, -120.999999538
2012,NM,New Mexico,29.5,27.3,31.8,2328.0,"(34.520880952, -106.240580985)",Education,Some college or technical school,34.520880952, -106.240580985
2013,NE,Nebraska,37.5,35.1,39.9,3584.0,"(41.641040988001, -99.365720623)",Age (years),55 - 64,41.641040988001, -99.365720623
2013,GA,Georgia,36.7,23.5,52.1,69.0,"(32.839681093, -83.627580346)",Race/Ethnicity,Other,32.839681093, -83.627580346
2013,DE,Delaware,19.1,10.5,32.3,71.0,"(39.008830667, -75.577741168)",Race/Ethnicity,Other,39.008830667, -75.577741168
2012,NV,Nevada,22.6,18.4,27.4,488.0,"(39.49324039, -117.071840564)",Age (years),25 - 34,39.49324039, -117.071840564
2015,NJ,New Jersey,32.6,27.4,38.2,641.0,"(40.130570048, -74.273691288)",Education,Less than high school,40.130570048, -74.273691288
2015,DC,District of Columbia,19.8,13.7,27.7,233.0,"(38.890371385, -77.031961127)",Income,"$25,000 - $34,999",38.890371385, -77.031961127
2012,LA,Louisiana,44.5,39.9,49.2,1398.0,"(31.312660644, -92.445680071)",Income,"Less than $15,000",31.312660644, -92.445680071
2011,IL,Illinois,26.5,24.4,28.8,3166.0,"(40.485010283, -88.997710178)",Gender,Female,40.485010283, -88.997710178
2015,WA,Washington,28.0,25.2,30.9,1528.0,"(47.522278629, -120.47001079)",Age (years),35 - 44,47.522278629, -120.47001079
2014,AL,Alabama,40.6,36.9,44.4,1406.0,"(32.840571122, -86.631860762)",Income,"$15,000 - $24,999",32.840571122, -86.631860762
2015,SD,South Dakota,28.6,25.7,31.7,2220.0,"(44.353130053, -100.373530637)",Education,College graduate,44.353130053, -100.373530637
2013,NV,Nevada,29.6,24.0,35.9,840.0,"(39.49324039, -117.071840564)",Age (years),45 - 54,39.49324039, -117.071840564
2011,ND,North Dakota,33.0,27.0,39.7,368.0,"(47.475319779, -100.118421049)",Income,"Less than $15,000",47.475319779, -100.118421049
2011,VA,Virginia,34.3,28.4,40.7,499.0,"(37.542680674, -78.457890463)",Income,"Less than $15,000",37.542680674, -78.457890463
2013,NE,Nebraska,14.4,11.5,17.9,796.0,"(41.641040988001, -99.365720623)",Age (years),18 - 24,41.641040988001, -99.365720623
2012,MA,Massachusetts,21.2,20.0,22.4,11582.0,"(42.27687047, -72.082690675)",Gender,Female,42.27687047, -72.082690675
2015,UT,Utah,26.0,22.8,29.5,1108.0,"(39.360700171, -111.587130635)",Income,"$15,000 - $24,999",39.360700171, -111.587130635
2011,CO,Colorado,23.5,21.4,25.7,3163.0,"(38.843840757, -106.133610921)",Education,High school graduate,38.843840757, -106.133610921
2011,MI,Michigan,32.6,29.2,36.2,1498.0,"(44.661319543001, -84.71439027)",Income,"$50,000 - $74,999",44.661319543001, -84.71439027
2014,DC,District of Columbia,33.9,30.4,37.7,1734.0,"(38.890371385, -77.031961127)",Race/Ethnicity,Non-Hispanic Black,38.890371385, -77.031961127
2012,PA,Pennsylvania,35.4,32.2,38.8,1949.0,"(40.793730152, -77.860700294)",Income,"Less than $15,000",40.793730152, -77.860700294
2012,IN,Indiana,23.8,21.4,26.5,1542.0,"(39.766910452, -86.149960194)",Income,"$75,000 or greater",39.766910452, -86.149960194
2015,VT,Vermont,30.9,26.6,35.5,720.0,"(43.625381239, -72.517640791)",Income,"$15,000 - $24,999",43.625381239, -72.517640791
2013,NC,North Carolina,33.2,30.0,36.5,1469.0,"(35.466220975, -79.159250463)",Income,"$15,000 - $24,999",35.466220975, -79.159250463
2012,VT,Vermont,21.1,17.3,25.6,716.0,"(43.625381239, -72.517640791)",Income,Data not reported,43.625381239, -72.517640791
2014,DC,District of Columbia,19.5,16.4,22.9,1552.0,"(38.890371385, -77.031961127)",Gender,Male,38.890371385, -77.031961127
2012,HI,Hawaii,23.6,22.0,25.2,7371.0,"(21.304850435, -157.857749403)",Total,Total,21.304850435, -157.857749403
2013,NC,North Carolina,24.0,15.4,35.2,105.0,"(35.466220975, -79.159250463)",Race/Ethnicity,2 or more races,35.466220975, -79.159250463
2013,VA,Virginia,32.4,28.9,36.2,1161.0,"(37.542680674, -78.457890463)",Income,"$15,000 - $24,999",37.542680674, -78.457890463
2011,CO,Colorado,17.5,14.8,20.6,1604.0,"(38.843840757, -106.133610921)",Income,Data not reported,38.843840757, -106.133610921
2012,OH,Ohio,30.6,27.5,34.0,1409.0,"(40.060210141, -82.404260056)",Income,"$25,000 - $34,999",40.060210141, -82.404260056
2013,AK,Alaska,31.7,21.2,44.5,125.0,"(64.845079957001, -147.722059036)",Race/Ethnicity,Hispanic,64.845079957001, -147.722059036
2014,SD,South Dakota,34.6,28.8,40.9,908.0,"(44.353130053, -100.373530637)",Income,"$15,000 - $24,999",44.353130053, -100.373530637
2014,NH,New Hampshire,28.4,25.8,31.0,2097.0,"(43.655950113, -71.50036092)",Age (years),65 or older,43.655950113, -71.50036092
2013,LA,Louisiana,40.5,35.8,45.3,807.0,"(31.312660644, -92.445680071)",Age (years),45 - 54,31.312660644, -92.445680071
2012,ME,Maine,28.3,27.2,29.5,9512.0,"(45.254228894001, -68.985031336)",Total,Total,45.254228894001, -68.985031336
2012,NC,North Carolina,26.5,25.2,27.8,7688.0,"(35.466220975, -79.159250463)",Race/Ethnicity,Non-Hispanic White,35.466220975, -79.159250463
2015,OK,Oklahoma,32.0,25.1,39.8,256.0,"(35.472031356, -97.521070214)",Race/Ethnicity,Hispanic,35.472031356, -97.521070214
2015,MD,Maryland,29.8,27.6,32.1,6696.0,"(39.290580964, -76.609260111)",Gender,Female,39.290580964, -76.609260111
2015,AZ,Arizona,24.2,22.2,26.3,3142.0,"(34.86597028, -111.763811277)",Age (years),65 or older,34.86597028, -111.763811277
2014,NC,North Carolina,25.0,22.2,28.1,1194.0,"(35.466220975, -79.159250463)",Income,Data not reported,35.466220975, -79.159250463
2012,DE,Delaware,24.4,21.5,27.5,1383.0,"(39.008830667, -75.577741168)",Income,"$75,000 or greater",39.008830667, -75.577741168
2014,OH,Ohio,33.4,31.2,35.7,3798.0,"(40.060210141, -82.404260056)",Age (years),65 or older,40.060210141, -82.404260056
2015,UT,Utah,27.6,23.1,32.7,464.0,"(39.360700171, -111.587130635)",Education,Less than high school,39.360700171, -111.587130635
2013,IN,Indiana,34.4,31.1,37.8,1301.0,"(39.766910452, -86.149960194)",Income,"$35,000 - $49,999",39.766910452, -86.149960194
2014,NH,New Hampshire,21.0,19.0,23.2,2339.0,"(43.655950113, -71.50036092)",Education,College graduate,43.655950113, -71.50036092
2015,AR,Arkansas,37.3,30.8,44.3,605.0,"(34.748650124, -92.274490743)",Income,"$35,000 - $49,999",34.748650124, -92.274490743
2012,MT,Montana,31.1,28.5,33.8,1892.0,"(47.066528972, -109.424420645)",Age (years),55 - 64,47.066528972, -109.424420645
2014,RI,Rhode Island,30.5,25.9,35.4,686.0,"(41.708280193, -71.522470314)",Income,"$35,000 - $49,999",41.708280193, -71.522470314
2013,WI,Wisconsin,36.1,26.8,46.6,378.0,"(44.393191174, -89.816370742)",Race/Ethnicity,Non-Hispanic Black,44.393191174, -89.816370742
2012,WY,Wyoming,25.2,18.8,32.8,469.0,"(43.235541343, -108.109830353)",Income,"Less than $15,000",43.235541343, -108.109830353
2015,AK,Alaska,29.3,26.2,32.6,1642.0,"(64.845079957001, -147.722059036)",Gender,Male,64.845079957001, -147.722059036
2011,MI,Michigan,33.8,29.0,39.0,715.0,"(44.661319543001, -84.71439027)",Education,Less than high school,44.661319543001, -84.71439027
2012,LA,Louisiana,38.2,34.2,42.4,1629.0,"(31.312660644, -92.445680071)",Income,"$15,000 - $24,999",31.312660644, -92.445680071
2015,IL,Illinois,28.4,25.9,31.1,1744.0,"(40.485010283, -88.997710178)",Income,"$75,000 or greater",40.485010283, -88.997710178
2013,MA,Massachusetts,23.5,20.7,26.5,1772.0,"(42.27687047, -72.082690675)",Age (years),35 - 44,42.27687047, -72.082690675
2011,RI,Rhode Island,35.2,26.4,45.3,175.0,"(41.708280193, -71.522470314)",Race/Ethnicity,Non-Hispanic Black,41.708280193, -71.522470314
2014,RI,Rhode Island,31.8,27.4,36.5,857.0,"(41.708280193, -71.522470314)",Income,"$50,000 - $74,999",41.708280193, -71.522470314
2014,AZ,Arizona,31.4,27.9,35.2,1864.0,"(34.86597028, -111.763811277)",Income,"$35,000 - $49,999",34.86597028, -111.763811277
2015,AL,Alabama,35.6,34.1,37.2,7383.0,"(32.840571122, -86.631860762)",Total,Total,32.840571122, -86.631860762
2013,AZ,Arizona,25.5,18.7,33.7,447.0,"(34.86597028, -111.763811277)",Income,"$25,000 - $34,999",34.86597028, -111.763811277
2013,NH,New Hampshire,33.5,26.6,41.2,321.0,"(43.655950113, -71.50036092)",Education,Less than high school,43.655950113, -71.50036092
2014,VT,Vermont,24.2,22.5,26.0,3280.0,"(43.625381239, -72.517640791)",Gender,Female,43.625381239, -72.517640791
2015,MS,Mississippi,37.2,34.9,39.7,3612.0,"(32.745510099, -89.538030825)",Gender,Female,32.745510099, -89.538030825
2012,MT,Montana,27.9,25.0,31.0,1561.0,"(47.066528972, -109.424420645)",Income,"$15,000 - $24,999",47.066528972, -109.424420645
2011,WV,West Virginia,27.7,25.2,30.4,1515.0,"(38.665510202, -80.712640135)",Age (years),65 or older,38.665510202, -80.712640135
2012,GA,Georgia,33.2,28.1,38.6,616.0,"(32.839681093, -83.627580346)",Income,"$25,000 - $34,999",32.839681093, -83.627580346
2011,DC,District of Columbia,22.9,10.8,42.1,53.0,"(38.890371385, -77.031961127)",Race/Ethnicity,Other,38.890371385, -77.031961127
2014,WI,Wisconsin,31.2,29.6,32.8,6655.0,"(44.393191174, -89.816370742)",Total,Total,44.393191174, -89.816370742
2012,CA,California,34.8,31.8,37.9,1578.0,"(37.638640123, -120.999999538)",Education,Less than high school,37.638640123, -120.999999538
2014,UT,Utah,32.5,30.3,34.7,2508.0,"(39.360700171, -111.587130635)",Age (years),55 - 64,39.360700171, -111.587130635
2014,KS,Kansas,33.9,27.1,41.4,222.0,"(38.3477403, -98.200781227)",Race/Ethnicity,2 or more races,38.3477403, -98.200781227
2013,MS,Mississippi,38.2,35.3,41.2,2231.0,"(32.745510099, -89.538030825)",Education,High school graduate,32.745510099, -89.538030825
2011,PA,Pennsylvania,27.6,26.1,29.2,6315.0,"(40.793730152, -77.860700294)",Gender,Female,40.793730152, -77.860700294
2012,AZ,Arizona,25.9,21.1,31.5,725.0,"(34.86597028, -111.763811277)",Income,"$25,000 - $34,999",34.86597028, -111.763811277
2011,MS,Mississippi,37.5,34.8,40.3,1916.0,"(32.745510099, -89.538030825)",Age (years),55 - 64,32.745510099, -89.538030825
2013,IL,Illinois,35.8,29.4,42.7,316.0,"(40.485010283, -88.997710178)",Race/Ethnicity,Hispanic,40.485010283, -88.997710178
2013,MO,Missouri,39.1,34.3,44.2,714.0,"(38.635790776, -92.566300053)",Age (years),35 - 44,38.635790776, -92.566300053
2014,CA,California,24.1,21.8,26.6,2067.0,"(37.638640123, -120.999999538)",Age (years),65 or older,37.638640123, -120.999999538
2014,MD,Maryland,31.1,27.4,35.0,1348.0,"(39.290580964, -76.609260111)",Age (years),35 - 44,39.290580964, -76.609260111
2015,CA,California,19.6,17.1,22.4,1390.0,"(37.638640123, -120.999999538)",Income,Data not reported,37.638640123, -120.999999538
2014,KS,Kansas,15.2,12.7,18.2,806.0,"(38.3477403, -98.200781227)",Age (years),18 - 24,38.3477403, -98.200781227
2011,NY,New York,26.5,23.2,30.1,1114.0,"(42.827001032, -75.543970427)",Income,"$15,000 - $24,999",42.827001032, -75.543970427
2011,NV,Nevada,27.4,23.9,31.1,1690.0,"(39.49324039, -117.071840564)",Education,Some college or technical school,39.49324039, -117.071840564
2014,IN,Indiana,35.5,32.3,38.8,1194.0,"(39.766910452, -86.149960194)",Age (years),35 - 44,39.766910452, -86.149960194
2013,CT,Connecticut,28.5,25.5,31.6,1863.0,"(41.56266102, -72.649840952)",Education,High school graduate,41.56266102, -72.649840952
2011,OH,Ohio,24.0,21.5,26.7,1936.0,"(40.060210141, -82.404260056)",Income,"$75,000 or greater",40.060210141, -82.404260056
2015,OK,Oklahoma,31.9,27.0,37.2,687.0,"(35.472031356, -97.521070214)",Income,"$25,000 - $34,999",35.472031356, -97.521070214
2014,OH,Ohio,34.7,31.0,38.5,1723.0,"(40.060210141, -82.404260056)",Income,"$15,000 - $24,999",40.060210141, -82.404260056
2011,ND,North Dakota,26.6,22.6,31.0,645.0,"(47.475319779, -100.118421049)",Income,"$15,000 - $24,999",47.475319779, -100.118421049
2013,TX,Texas,35.1,31.6,38.8,1646.0,"(31.827240407, -99.426770206)",Income,"$15,000 - $24,999",31.827240407, -99.426770206
2011,CT,Connecticut,32.8,26.8,39.5,467.0,"(41.56266102, -72.649840952)",Race/Ethnicity,Non-Hispanic Black,41.56266102, -72.649840952
2014,VA,Virginia,35.4,32.8,38.0,2076.0,"(37.542680674, -78.457890463)",Age (years),55 - 64,37.542680674, -78.457890463
2015,CT,Connecticut,23.7,22.5,25.0,8255.0,"(41.56266102, -72.649840952)",Race/Ethnicity,Non-Hispanic White,41.56266102, -72.649840952
2015,KY,Kentucky,41.2,35.2,47.5,695.0,"(37.645970271, -84.774971048)",Income,"$15,000 - $24,999",37.645970271, -84.774971048
2013,AR,Arkansas,42.5,32.1,53.6,125.0,"(34.748650124, -92.274490743)",Race/Ethnicity,Hispanic,34.748650124, -92.274490743
2013,AR,Arkansas,39.6,33.8,45.6,599.0,"(34.748650124, -92.274490743)",Education,Less than high school,34.748650124, -92.274490743
2012,NY,New York,7.8,4.0,14.8,196.0,"(42.827001032, -75.543970427)",Race/Ethnicity,Asian,42.827001032, -75.543970427
2015,WV,West Virginia,41.8,38.7,44.8,1278.0,"(38.665510202, -80.712640135)",Age (years),55 - 64,38.665510202, -80.712640135
2013,ND,North Dakota,28.5,26.1,31.1,2255.0,"(47.475319779, -100.118421049)",Income,"$75,000 or greater",47.475319779, -100.118421049
2012,KS,Kansas,23.6,22.1,25.2,4202.0,"(38.3477403, -98.200781227)",Education,College graduate,38.3477403, -98.200781227
2014,LA,Louisiana,36.1,32.5,39.8,1111.0,"(31.312660644, -92.445680071)",Income,"$15,000 - $24,999",31.312660644, -92.445680071
2011,CA,California,27.6,25.7,29.7,2969.0,"(37.638640123, -120.999999538)",Age (years),45 - 54,37.638640123, -120.999999538
2015,AR,Arkansas,42.5,26.6,60.1,88.0,"(34.748650124, -92.274490743)",Race/Ethnicity,2 or more races,34.748650124, -92.274490743
2013,NC,North Carolina,25.5,22.0,29.3,878.0,"(35.466220975, -79.159250463)",Income,"$50,000 - $74,999",35.466220975, -79.159250463
2012,HI,Hawaii,51.4,41.2,61.4,256.0,"(21.304850435, -157.857749403)",Race/Ethnicity,Hawaiian/Pacific Islander,21.304850435, -157.857749403
2014,NM,New Mexico,24.2,21.4,27.3,1745.0,"(34.520880952, -106.240580985)",Income,"$75,000 or greater",34.520880952, -106.240580985
2011,SD,South Dakota,44.7,36.6,53.1,817.0,"(44.353130053, -100.373530637)",Race/Ethnicity,American Indian/Alaska Native,44.353130053, -100.373530637
2012,ME,Maine,32.9,30.3,35.5,1810.0,"(45.254228894001, -68.985031336)",Age (years),45 - 54,45.254228894001, -68.985031336
2013,MD,Maryland,29.0,24.4,34.1,974.0,"(39.290580964, -76.609260111)",Income,"$25,000 - $34,999",39.290580964, -76.609260111
2015,MA,Massachusetts,33.4,28.9,38.2,644.0,"(42.27687047, -72.082690675)",Race/Ethnicity,Hispanic,42.27687047, -72.082690675
2011,DE,Delaware,33.5,27.6,39.9,495.0,"(39.008830667, -75.577741168)",Income,"Less than $15,000",39.008830667, -75.577741168
2015,ID,Idaho,34.5,29.9,39.5,788.0,"(43.682630005, -114.363730042)",Income,"$35,000 - $49,999",43.682630005, -114.363730042
2015,WY,Wyoming,31.1,26.5,36.0,644.0,"(43.235541343, -108.109830353)",Age (years),45 - 54,43.235541343, -108.109830353
2013,AL,Alabama,34.0,31.9,36.0,4065.0,"(32.840571122, -86.631860762)",Gender,Female,32.840571122, -86.631860762
2012,NJ,New Jersey,18.3,17.0,19.7,5857.0,"(40.130570048, -74.273691288)",Education,College graduate,40.130570048, -74.273691288
2015,DC,District of Columbia,15.4,8.1,27.3,86.0,"(38.890371385, -77.031961127)",Age (years),18 - 24,38.890371385, -77.031961127
2014,OH,Ohio,40.7,19.3,66.3,89.0,"(40.060210141, -82.404260056)",Race/Ethnicity,American Indian/Alaska Native,40.060210141, -82.404260056
2013,PA,Pennsylvania,26.0,23.9,28.3,2418.0,"(40.793730152, -77.860700294)",Income,"$75,000 or greater",40.793730152, -77.860700294
2012,ID,Idaho,26.2,23.6,28.9,3257.0,"(43.682630005, -114.363730042)",Gender,Female,43.682630005, -114.363730042
2015,NV,Nevada,26.7,24.1,29.5,2701.0,"(39.49324039, -117.071840564)",Total,Total,39.49324039, -117.071840564
2013,VT,Vermont,24.0,13.0,39.9,52.0,"(43.625381239, -72.517640791)",Race/Ethnicity,Hispanic,43.625381239, -72.517640791
2012,CO,Colorado,19.0,13.0,26.8,189.0,"(38.843840757, -106.133610921)",Race/Ethnicity,2 or more races,38.843840757, -106.133610921
2011,NH,New Hampshire,30.9,25.7,36.6,510.0,"(43.655950113, -71.50036092)",Income,"Less than $15,000",43.655950113, -71.50036092
2015,KS,Kansas,38.0,35.8,40.2,2509.0,"(38.3477403, -98.200781227)",Age (years),35 - 44,38.3477403, -98.200781227
2012,LA,Louisiana,30.0,28.1,31.9,5706.0,"(31.312660644, -92.445680071)",Race/Ethnicity,Non-Hispanic White,31.312660644, -92.445680071
2014,VT,Vermont,28.1,23.4,33.3,453.0,"(43.625381239, -72.517640791)",Income,"Less than $15,000",43.625381239, -72.517640791
2014,ID,Idaho,30.5,25.3,36.3,607.0,"(43.682630005, -114.363730042)",Income,"$25,000 - $34,999",43.682630005, -114.363730042
2014,WA,Washington,34.6,29.1,40.5,451.0,"(47.522278629, -120.47001079)",Race/Ethnicity,Hispanic,47.522278629, -120.47001079
2014,TN,Tennessee,18.6,13.1,25.9,187.0,"(35.68094058, -85.774490914)",Age (years),18 - 24,35.68094058, -85.774490914
2012,MT,Montana,30.4,26.6,34.5,1008.0,"(47.066528972, -109.424420645)",Income,"Less than $15,000",47.066528972, -109.424420645
2012,MO,Missouri,33.0,28.7,37.7,696.0,"(38.635790776, -92.566300053)",Age (years),35 - 44,38.635790776, -92.566300053
2013,NV,Nevada,31.0,25.3,37.3,608.0,"(39.49324039, -117.071840564)",Age (years),35 - 44,39.49324039, -117.071840564
2015,NH,New Hampshire,22.8,20.5,25.2,1979.0,"(43.655950113, -71.50036092)",Income,"$75,000 or greater",43.655950113, -71.50036092
2014,WA,Washington,23.4,20.0,27.1,785.0,"(47.522278629, -120.47001079)",Age (years),25 - 34,47.522278629, -120.47001079
2014,MT,Montana,27.3,24.6,30.2,1726.0,"(47.066528972, -109.424420645)",Age (years),55 - 64,47.066528972, -109.424420645
2011,MT,Montana,24.3,21.1,27.8,1395.0,"(47.066528972, -109.424420645)",Income,"$50,000 - $74,999",47.066528972, -109.424420645
2011,WA,Washington,26.5,25.3,27.7,13896.0,"(47.522278629, -120.47001079)",Total,Total,47.522278629, -120.47001079
2011,DE,Delaware,31.4,27.1,36.0,785.0,"(39.008830667, -75.577741168)",Age (years),45 - 54,39.008830667, -75.577741168
2011,MS,Mississippi,25.9,21.4,30.9,411.0,"(32.745510099, -89.538030825)",Age (years),18 - 24,32.745510099, -89.538030825
2015,NM,New Mexico,21.7,15.9,28.9,296.0,"(34.520880952, -106.240580985)",Age (years),18 - 24,34.520880952, -106.240580985
2014,LA,Louisiana,43.4,40.5,46.3,1714.0,"(31.312660644, -92.445680071)",Race/Ethnicity,Non-Hispanic Black,31.312660644, -92.445680071
2015,KY,Kentucky,36.2,31.3,41.5,702.0,"(37.645970271, -84.774971048)",Age (years),25 - 34,37.645970271, -84.774971048
2013,MS,Mississippi,35.0,30.5,39.7,619.0,"(32.745510099, -89.538030825)",Age (years),25 - 34,32.745510099, -89.538030825
2011,AK,Alaska,28.8,21.4,37.6,245.0,"(64.845079957001, -147.722059036)",Education,Less than high school,64.845079957001, -147.722059036
2015,CT,Connecticut,20.5,10.3,36.7,52.0,"(41.56266102, -72.649840952)",Race/Ethnicity,American Indian/Alaska Native,41.56266102, -72.649840952
2013,ME,Maine,28.4,25.2,31.8,1160.0,"(45.254228894001, -68.985031336)",Income,"$35,000 - $49,999",45.254228894001, -68.985031336
2011,AZ,Arizona,26.8,16.6,40.3,103.0,"(34.86597028, -111.763811277)",Race/Ethnicity,Non-Hispanic Black,34.86597028, -111.763811277
2014,MD,Maryland,26.8,18.4,37.2,163.0,"(39.290580964, -76.609260111)",Race/Ethnicity,2 or more races,39.290580964, -76.609260111
2012,DC,District of Columbia,32.9,28.1,38.0,766.0,"(38.890371385, -77.031961127)",Age (years),55 - 64,38.890371385, -77.031961127
2013,MS,Mississippi,32.7,29.8,35.7,1739.0,"(32.745510099, -89.538030825)",Education,Some college or technical school,32.745510099, -89.538030825
2015,CO,Colorado,27.6,24.4,31.1,1620.0,"(38.843840757, -106.133610921)",Race/Ethnicity,Hispanic,38.843840757, -106.133610921
2015,OR,Oregon,34.6,28.9,40.7,455.0,"(44.567449424, -120.155031326)",Income,"$25,000 - $34,999",44.567449424, -120.155031326
2012,AR,Arkansas,38.5,34.1,43.2,907.0,"(34.748650124, -92.274490743)",Income,"$15,000 - $24,999",34.748650124, -92.274490743
2011,NJ,New Jersey,21.7,18.8,24.8,1376.0,"(40.130570048, -74.273691288)",Age (years),25 - 34,40.130570048, -74.273691288
2012,WA,Washington,34.8,25.8,44.9,147.0,"(47.522278629, -120.47001079)",Race/Ethnicity,American Indian/Alaska Native,47.522278629, -120.47001079
2011,NC,North Carolina,40.7,37.0,44.4,1628.0,"(35.466220975, -79.159250463)",Race/Ethnicity,Non-Hispanic Black,35.466220975, -79.159250463
2011,TX,Texas,39.5,34.7,44.6,1005.0,"(31.827240407, -99.426770206)",Race/Ethnicity,Non-Hispanic Black,31.827240407, -99.426770206
2012,CA,California,28.8,22.6,35.9,359.0,"(37.638640123, -120.999999538)",Race/Ethnicity,2 or more races,37.638640123, -120.999999538
2013,RI,Rhode Island,41.5,30.3,53.6,120.0,"(41.708280193, -71.522470314)",Race/Ethnicity,Other,41.708280193, -71.522470314
2015,HI,Hawaii,30.3,25.2,35.9,523.0,"(21.304850435, -157.857749403)",Race/Ethnicity,Hispanic,21.304850435, -157.857749403
